mo_id,criminal_id,crime_type,entry_method,escape_method,target_selection,crime_timing,weapon_used,dress_pattern,communication_method,vehicle_used,accomplice_count,victim_selection,planning_level,technology_used,repeat_pattern,special_notes
1399,CRM-IND-01399,Fraud,Lock picking,Auto rickshaw,Parked vehicles,Evening (6PM-9PM),None,Face mask and cap,Face to face,On foot,0,Street vendors,Highly Planned,GPS tracker,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Organized Crime offender. No gang affiliation.
1400,CRM-IND-01400,Cybercrime,Window break,Bike escape,College students,Morning (6AM-10AM),None,Workman overalls,Prepaid SIM,Auto rickshaw,1,IT parks,Opportunistic,None,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
1401,CRM-IND-01401,Extortion,Key duplication,Taxi,ATMs,Dawn,Axe,Formal attire,WhatsApp,Car,6,Isolated houses,Professional,None,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
1402,CRM-IND-01402,Fraud,Roof entry,Taxi,Parked vehicles,Evening (6PM-9PM),None,Formal attire,WhatsApp,Bicycle,0,College students,Highly Planned,Hacking tools,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. No gang affiliation.
1403,CRM-IND-01403,Assault,Fire escape,Through lanes,Parked vehicles,Evening (6PM-9PM),None,Dark clothing,Face to face,Auto rickshaw,1,Isolated houses,Opportunistic,GPS tracker,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. Gang affiliated: Shadow Syndicate.
1404,CRM-IND-01404,Murder,Lock picking,Car escape,Street vendors,Late night (11PM-3AM),Cricket Bat,Dark clothing,Signal,Car,0,ATMs,Moderately Planned,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. Gang affiliated: Cobra Unit.
1405,CRM-IND-01405,Robbery,Wall breach,Auto rickshaw,Women walking alone,Late night (11PM-3AM),Chain,Helmet and visor,Hand signals,SUV,0,ATMs,Moderately Planned,Night vision,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
1406,CRM-IND-01406,Cybercrime,Wall breach,Hiding in crowd,Offices after hours,Dusk,Chain,Black hoodie,Telegram,Bicycle,3,Jewelry shops,Highly Planned,None,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Non-violent offender. Gang affiliated: Shadow Syndicate.
1407,CRM-IND-01407,Theft,Window break,Train,ATMs,Evening (6PM-9PM),Knife,Formal attire,Face to face,Motorcycle,2,IT parks,Opportunistic,None,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Violent offender. No gang affiliation.
1408,CRM-IND-01408,Robbery,Window break,Through lanes,Isolated houses,Early morning (3AM-6AM),Pistol,Workman overalls,Signal,Tempo,2,Festival crowds,Highly Planned,Skeleton keys,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
1409,CRM-IND-01409,Robbery,Lock picking,Taxi,Women walking alone,Dusk,Axe,Workman overalls,Face to face,Stolen vehicle,1,Isolated houses,Moderately Planned,Hacking tools,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Non-violent offender. No gang affiliation.
1410,CRM-IND-01410,Murder,Door break,Auto rickshaw,Offices after hours,Early morning (3AM-6AM),Hammer,Helmet and visor,Telegram,Bicycle,2,Elderly people,Impulsive,Fake documents,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Non-violent offender. No gang affiliation.
1411,CRM-IND-01411,Kidnapping,Lock picking,On foot,Women walking alone,Midnight,None,Face mask and cap,Signal,Stolen vehicle,0,College students,Professional,Fake documents,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Violent offender. No gang affiliation.
1412,CRM-IND-01412,Cybercrime,Key duplication,Auto rickshaw,Jewelry shops,Dawn,None,Helmet and visor,Face to face,Motorcycle,2,Parked vehicles,Highly Planned,Fake documents,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Organized Crime offender. No gang affiliation.
1413,CRM-IND-01413,Robbery,Key duplication,Train,Festival crowds,Afternoon (12PM-3PM),Axe,Dark clothing,Coded language,Auto rickshaw,6,Construction sites,Impulsive,None,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
1414,CRM-IND-01414,Assault,Not applicable,On foot,College students,Afternoon (12PM-3PM),Knife,Sports wear,Signal,Tempo,0,Offices after hours,Opportunistic,None,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Non-violent offender. Gang affiliated: Tiger Gang.
1415,CRM-IND-01415,Murder,Front door,Bus,Construction sites,Midnight,Machete,Face mask and cap,Coded language,SUV,5,ATMs,Professional,Hacking tools,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as High risk. White Collar offender. No gang affiliation.
1416,CRM-IND-01416,Kidnapping,Lock picking,Auto rickshaw,Offices after hours,Dawn,Hammer,Dark clothing,Telegram,Auto rickshaw,6,Construction sites,Impulsive,None,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
1417,CRM-IND-01417,Extortion,Not applicable,Car escape,Parked vehicles,Early morning (3AM-6AM),None,Face mask and cap,WhatsApp,Motorcycle,3,Jewelry shops,Impulsive,GPS tracker,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Non-violent offender. No gang affiliation.
1418,CRM-IND-01418,Murder,Not applicable,Bike escape,Banks,Midnight,None,Formal attire,Telegram,On foot,5,Construction sites,Professional,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. Gang affiliated: Steel Vipers.
1419,CRM-IND-01419,Kidnapping,Not applicable,Hiding in crowd,Festival crowds,Midnight,Hammer,Workman overalls,WhatsApp,Car,6,Isolated houses,Impulsive,GPS tracker,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. White Collar offender. Gang affiliated: Steel Vipers.
1420,CRM-IND-01420,Extortion,Key duplication,Auto rickshaw,Street vendors,Late night (11PM-3AM),Machete,Sports wear,Signal,Van,3,Elderly people,Professional,GPS tracker,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. Gang affiliated: Snake Eyes.
1421,CRM-IND-01421,Cybercrime,Window break,Bike escape,Parked vehicles,Midnight,Sword,Casual clothes,WhatsApp,Car,5,Festival crowds,Professional,None,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
1422,CRM-IND-01422,Theft,Key duplication,Bike escape,College students,Dusk,Iron Rod,Uniform disguise,WhatsApp,Stolen vehicle,4,Isolated houses,Opportunistic,Signal jammer,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. Gang affiliated: Dhole Patti Gang.
1423,CRM-IND-01423,Cybercrime,Lock picking,Bike escape,Construction sites,Evening (6PM-9PM),None,Face mask and cap,WhatsApp,Truck,1,Isolated houses,Opportunistic,None,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. Gang affiliated: Night Wolves.
1424,CRM-IND-01424,Cybercrime,Door break,Through lanes,Street vendors,Midnight,None,Formal attire,Face to face,Truck,1,Elderly people,Moderately Planned,Skeleton keys,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Organized Crime offender. No gang affiliation.
1425,CRM-IND-01425,Cybercrime,Front door,Bike escape,Elderly people,Afternoon (12PM-3PM),Cricket Bat,Helmet and visor,Coded language,Stolen vehicle,1,Offices after hours,Impulsive,None,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
1426,CRM-IND-01426,Fraud,Window break,Train,Women walking alone,Dawn,None,Casual clothes,Hand signals,Car,1,College students,Professional,None,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
1427,CRM-IND-01427,Drug Offense,Lock picking,Through lanes,IT parks,Afternoon (12PM-3PM),Knife,Dark clothing,Telegram,Motorcycle,4,Isolated houses,Opportunistic,None,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Violent offender. No gang affiliation.
1428,CRM-IND-01428,Murder,Fire escape,Bike escape,Construction sites,Afternoon (12PM-3PM),Cricket Bat,Workman overalls,WhatsApp,Auto rickshaw,2,Banks,Moderately Planned,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. No gang affiliation.
1429,CRM-IND-01429,Sexual Offense,Front door,Taxi,ATMs,Dawn,Iron Rod,Helmet and visor,Face to face,Auto rickshaw,5,Women walking alone,Highly Planned,GPS tracker,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. Gang affiliated: Shadow Syndicate.
1430,CRM-IND-01430,Fraud,Fire escape,Hiding in crowd,Parked vehicles,Afternoon (12PM-3PM),Iron Rod,Casual clothes,Face to face,On foot,1,Construction sites,Highly Planned,Fake documents,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. Gang affiliated: Tiger Gang.
1431,CRM-IND-01431,Sexual Offense,Wall breach,Bike escape,Parked vehicles,Midnight,Sword,Black hoodie,WhatsApp,Stolen vehicle,2,IT parks,Moderately Planned,None,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. Gang affiliated: Shinde Group.
1432,CRM-IND-01432,Theft,Window break,Train,Women walking alone,Dusk,Knife,Black hoodie,WhatsApp,SUV,4,Offices after hours,Impulsive,Signal jammer,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Non-violent offender. No gang affiliation.
1433,CRM-IND-01433,Robbery,Lock picking,Bus,ATMs,Afternoon (12PM-3PM),Hammer,Formal attire,Coded language,On foot,1,Parked vehicles,Moderately Planned,Lock pick set,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
1434,CRM-IND-01434,Murder,Lock picking,Taxi,ATMs,Morning (6AM-10AM),None,Formal attire,Prepaid SIM,Truck,0,Street vendors,Professional,Hacking tools,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Habitual Offender offender. Gang affiliated: Vishrantwadi Boys.
1435,CRM-IND-01435,Sexual Offense,Key duplication,On foot,Offices after hours,Evening (6PM-9PM),None,Sports wear,Hand signals,Motorcycle,6,Offices after hours,Impulsive,None,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
1436,CRM-IND-01436,Fraud,Key duplication,Car escape,Offices after hours,Afternoon (12PM-3PM),Axe,Uniform disguise,Hand signals,Stolen vehicle,1,Banks,Highly Planned,None,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Non-violent offender. No gang affiliation.
1437,CRM-IND-01437,Cybercrime,Roof entry,Bike escape,Street vendors,Dawn,Knife,Formal attire,Coded language,SUV,4,IT parks,Opportunistic,Hacking tools,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. Gang affiliated: Dhole Patti Gang.
1438,CRM-IND-01438,Theft,Front door,Auto rickshaw,Construction sites,Afternoon (12PM-3PM),None,Black hoodie,Coded language,On foot,4,Elderly people,Highly Planned,GPS tracker,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
1439,CRM-IND-01439,Sexual Offense,Wall breach,Hiding in crowd,Elderly people,Dusk,Machete,Casual clothes,Hand signals,On foot,6,Street vendors,Impulsive,Lock pick set,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Organized Crime offender. Gang affiliated: Ghost Riders.
1440,CRM-IND-01440,Extortion,Key duplication,Through lanes,Banks,Midnight,None,Uniform disguise,WhatsApp,Auto rickshaw,0,Isolated houses,Moderately Planned,None,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
1441,CRM-IND-01441,Extortion,Key duplication,Taxi,Construction sites,Morning (6AM-10AM),None,Casual clothes,Hand signals,Auto rickshaw,1,College students,Highly Planned,None,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
1442,CRM-IND-01442,Kidnapping,Door break,Train,ATMs,Evening (6PM-9PM),Cricket Bat,Workman overalls,Telegram,Auto rickshaw,5,Women walking alone,Highly Planned,Night vision,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
1443,CRM-IND-01443,Extortion,Fire escape,Hiding in crowd,College students,Late night (11PM-3AM),Pistol,Face mask and cap,Signal,Tempo,0,Street vendors,Highly Planned,Hacking tools,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
1444,CRM-IND-01444,Extortion,Fire escape,Through lanes,College students,Morning (6AM-10AM),None,Uniform disguise,WhatsApp,Bicycle,2,Jewelry shops,Highly Planned,GPS tracker,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Violent offender. No gang affiliation.
1445,CRM-IND-01445,Extortion,Front door,Bus,Festival crowds,Morning (6AM-10AM),None,Face mask and cap,Signal,Bicycle,5,Construction sites,Highly Planned,Lock pick set,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Organized Crime offender. No gang affiliation.
1446,CRM-IND-01446,Theft,Front door,Through lanes,ATMs,Midnight,None,Dark clothing,Hand signals,Auto rickshaw,3,Women walking alone,Highly Planned,None,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
1447,CRM-IND-01447,Theft,Door break,Taxi,Street vendors,Dawn,None,Casual clothes,Face to face,Bicycle,1,ATMs,Professional,None,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Violent offender. No gang affiliation.
1448,CRM-IND-01448,Assault,Lock picking,Train,Construction sites,Afternoon (12PM-3PM),None,Workman overalls,Coded language,Bicycle,4,Offices after hours,Impulsive,Lock pick set,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. White Collar offender. No gang affiliation.
1449,CRM-IND-01449,Murder,Back door,Car escape,Elderly people,Midnight,Chain,Dark clothing,Hand signals,Bicycle,4,Offices after hours,Highly Planned,GPS tracker,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Violent offender. No gang affiliation.
1450,CRM-IND-01450,Fraud,Lock picking,Bike escape,Jewelry shops,Morning (6AM-10AM),Chain,Helmet and visor,Coded language,Stolen vehicle,5,Women walking alone,Opportunistic,GPS tracker,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as High risk. White Collar offender. No gang affiliation.
1451,CRM-IND-01451,Murder,Key duplication,Bike escape,ATMs,Evening (6PM-9PM),None,Helmet and visor,Face to face,Truck,5,Banks,Professional,Lock pick set,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Violent offender. No gang affiliation.
1452,CRM-IND-01452,Fraud,Back door,Bike escape,Festival crowds,Early morning (3AM-6AM),None,Helmet and visor,Telegram,Tempo,4,Offices after hours,Professional,None,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. Gang affiliated: Scorpion Crew.
1453,CRM-IND-01453,Extortion,Front door,On foot,College students,Midnight,Chain,Dark clothing,Hand signals,Truck,5,Isolated houses,Highly Planned,None,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
1454,CRM-IND-01454,Sexual Offense,Roof entry,Train,Elderly people,Afternoon (12PM-3PM),None,Formal attire,Prepaid SIM,Bicycle,3,Festival crowds,Opportunistic,None,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. No gang affiliation.
1455,CRM-IND-01455,Extortion,Door break,On foot,Parked vehicles,Morning (6AM-10AM),None,Dark clothing,Prepaid SIM,On foot,6,Women walking alone,Moderately Planned,Skeleton keys,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. No gang affiliation.
1456,CRM-IND-01456,Murder,Fire escape,Taxi,Parked vehicles,Dusk,Cricket Bat,Casual clothes,Coded language,Car,2,Offices after hours,Opportunistic,Lock pick set,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. Gang affiliated: Dhole Patti Gang.
1457,CRM-IND-01457,Assault,Door break,Car escape,Festival crowds,Late night (11PM-3AM),Chain,Workman overalls,Signal,Truck,0,College students,Highly Planned,None,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
1458,CRM-IND-01458,Fraud,Wall breach,Hiding in crowd,Street vendors,Afternoon (12PM-3PM),Chain,Casual clothes,Coded language,Bicycle,4,ATMs,Moderately Planned,Lock pick set,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. Gang affiliated: Shinde Group.
1459,CRM-IND-01459,Robbery,Key duplication,Through lanes,IT parks,Late night (11PM-3AM),Axe,Casual clothes,Signal,On foot,2,Elderly people,Opportunistic,None,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. Gang affiliated: Dhole Patti Gang.
1460,CRM-IND-01460,Assault,Not applicable,Bus,Women walking alone,Morning (6AM-10AM),Iron Rod,Uniform disguise,Coded language,Auto rickshaw,3,Women walking alone,Opportunistic,Skeleton keys,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. Gang affiliated: Iron Fist.
1461,CRM-IND-01461,Fraud,Front door,Bike escape,Jewelry shops,Evening (6PM-9PM),Machete,Formal attire,Signal,SUV,5,Festival crowds,Highly Planned,None,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
1462,CRM-IND-01462,Sexual Offense,Front door,Hiding in crowd,Parked vehicles,Morning (6AM-10AM),Pistol,Sports wear,WhatsApp,SUV,1,Women walking alone,Opportunistic,Hacking tools,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
1463,CRM-IND-01463,Extortion,Window break,Auto rickshaw,Jewelry shops,Evening (6PM-9PM),None,Face mask and cap,Hand signals,Bicycle,0,ATMs,Opportunistic,Signal jammer,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. No gang affiliation.
1464,CRM-IND-01464,Drug Offense,Door break,Train,IT parks,Dawn,Axe,Dark clothing,Signal,Tempo,5,College students,Professional,None,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Organized Crime offender. No gang affiliation.
1465,CRM-IND-01465,Robbery,Fire escape,Taxi,Elderly people,Evening (6PM-9PM),Cricket Bat,Dark clothing,Prepaid SIM,On foot,2,Elderly people,Impulsive,Night vision,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
1466,CRM-IND-01466,Sexual Offense,Fire escape,Taxi,ATMs,Late night (11PM-3AM),Machete,Face mask and cap,Signal,Tempo,3,Isolated houses,Professional,None,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
1467,CRM-IND-01467,Theft,Lock picking,On foot,Jewelry shops,Dawn,None,Sports wear,Hand signals,Stolen vehicle,4,Parked vehicles,Professional,None,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
1468,CRM-IND-01468,Assault,Lock picking,Bus,Offices after hours,Evening (6PM-9PM),None,Helmet and visor,Face to face,SUV,2,Construction sites,Professional,Fake documents,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
1469,CRM-IND-01469,Fraud,Wall breach,Taxi,College students,Midnight,None,Workman overalls,Prepaid SIM,SUV,1,Jewelry shops,Professional,Hacking tools,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
1470,CRM-IND-01470,Robbery,Lock picking,Hiding in crowd,College students,Early morning (3AM-6AM),None,Dark clothing,Coded language,Car,3,IT parks,Professional,Fake documents,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
1471,CRM-IND-01471,Sexual Offense,Fire escape,Train,College students,Morning (6AM-10AM),Sword,Black hoodie,Face to face,SUV,6,Isolated houses,Moderately Planned,Fake documents,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
1472,CRM-IND-01472,Drug Offense,Fire escape,Car escape,Jewelry shops,Evening (6PM-9PM),Pistol,Formal attire,WhatsApp,Bicycle,2,Banks,Professional,Hacking tools,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
1473,CRM-IND-01473,Robbery,Door break,Car escape,Women walking alone,Dawn,None,Black hoodie,Face to face,Truck,2,Women walking alone,Impulsive,GPS tracker,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. Gang affiliated: Red Hand.
1474,CRM-IND-01474,Assault,Back door,On foot,Parked vehicles,Evening (6PM-9PM),None,Helmet and visor,WhatsApp,Stolen vehicle,3,Parked vehicles,Impulsive,Skeleton keys,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
1475,CRM-IND-01475,Kidnapping,Window break,Bus,Parked vehicles,Late night (11PM-3AM),Iron Rod,Workman overalls,Hand signals,Auto rickshaw,6,IT parks,Highly Planned,Signal jammer,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Non-violent offender. Gang affiliated: Night Wolves.
1476,CRM-IND-01476,Drug Offense,Wall breach,Car escape,Festival crowds,Afternoon (12PM-3PM),None,Casual clothes,Prepaid SIM,Tempo,5,Construction sites,Moderately Planned,None,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
1477,CRM-IND-01477,Kidnapping,Front door,Hiding in crowd,IT parks,Evening (6PM-9PM),Axe,Workman overalls,WhatsApp,Truck,6,Street vendors,Highly Planned,Fake documents,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
1478,CRM-IND-01478,Murder,Front door,Taxi,Construction sites,Morning (6AM-10AM),Sword,Formal attire,Telegram,SUV,1,IT parks,Opportunistic,Signal jammer,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Organized Crime offender. No gang affiliation.
1479,CRM-IND-01479,Theft,Lock picking,Bus,Women walking alone,Afternoon (12PM-3PM),Pistol,Casual clothes,Hand signals,Truck,3,Festival crowds,Highly Planned,None,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. Gang affiliated: Wagh Mandali.
1480,CRM-IND-01480,Assault,Not applicable,Bike escape,Elderly people,Late night (11PM-3AM),Cricket Bat,Dark clothing,Signal,Tempo,1,Festival crowds,Highly Planned,Night vision,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Habitual Offender offender. Gang affiliated: Vishrantwadi Boys.
1481,CRM-IND-01481,Sexual Offense,Door break,Car escape,Women walking alone,Morning (6AM-10AM),Knife,Sports wear,WhatsApp,Motorcycle,1,Jewelry shops,Opportunistic,None,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Habitual Offender offender. No gang affiliation.
1482,CRM-IND-01482,Theft,Not applicable,Bus,Banks,Morning (6AM-10AM),Hammer,Dark clothing,Coded language,Stolen vehicle,0,ATMs,Opportunistic,Signal jammer,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
1483,CRM-IND-01483,Cybercrime,Roof entry,Through lanes,Street vendors,Evening (6PM-9PM),Pistol,Casual clothes,Coded language,Auto rickshaw,4,Banks,Impulsive,Night vision,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
1484,CRM-IND-01484,Fraud,Key duplication,Bus,Parked vehicles,Late night (11PM-3AM),Machete,Casual clothes,Signal,Van,6,Jewelry shops,Opportunistic,Hacking tools,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Non-violent offender. No gang affiliation.
1485,CRM-IND-01485,Murder,Wall breach,On foot,Parked vehicles,Afternoon (12PM-3PM),Pistol,Formal attire,Coded language,Truck,4,Banks,Opportunistic,Hacking tools,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
1486,CRM-IND-01486,Cybercrime,Door break,Bike escape,Construction sites,Late night (11PM-3AM),Iron Rod,Uniform disguise,Face to face,Tempo,6,IT parks,Professional,Hacking tools,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
1487,CRM-IND-01487,Murder,Fire escape,On foot,Jewelry shops,Dusk,None,Uniform disguise,Telegram,SUV,2,Offices after hours,Opportunistic,Signal jammer,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
1488,CRM-IND-01488,Sexual Offense,Front door,Hiding in crowd,Festival crowds,Dusk,Chain,Workman overalls,Telegram,Bicycle,4,Festival crowds,Professional,None,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Organized Crime offender. No gang affiliation.
1489,CRM-IND-01489,Kidnapping,Window break,Taxi,Isolated houses,Midnight,None,Dark clothing,Telegram,SUV,3,Festival crowds,Highly Planned,None,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
1490,CRM-IND-01490,Sexual Offense,Key duplication,Taxi,Isolated houses,Afternoon (12PM-3PM),Chain,Face mask and cap,WhatsApp,Stolen vehicle,1,IT parks,Impulsive,Lock pick set,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Organized Crime offender. No gang affiliation.
1491,CRM-IND-01491,Drug Offense,Not applicable,Taxi,Isolated houses,Evening (6PM-9PM),None,Dark clothing,Prepaid SIM,SUV,6,IT parks,Impulsive,None,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. White Collar offender. Gang affiliated: Iron Fist.
1492,CRM-IND-01492,Kidnapping,Door break,Hiding in crowd,IT parks,Midnight,Sword,Face mask and cap,Hand signals,Tempo,0,Women walking alone,Professional,Night vision,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
